code,name,signal_date,ret5,ret20,ret60,ret120,vol20,vol60,dd120,tsmom,rsi,adv20,amount_trend,last_close,momentum_score,risk_score,liquidity_flow_score,quality_score,growth_score,valuation_score,score,rank
300661,圣邦股份,2026-07-01,-0.0019639220250217138,0.28738975417526746,0.9503909026297088,0.9848112252278318,0.6772169470725972,0.6500217206413622,-0.2024053224155581,1,76.87969924812033,2541107797.05,-0.10526479083721763,137.21,0.8782407407407408,0.41666666666666663,0.5324074074074074,0.5,0.5,0.5,0.5853009259259259,12
600460,士兰微,2026-07-01,0.06278744251149782,0.6091432031486526,1.0450173143516737,0.8847517730496455,0.7386693485144358,0.6194204244394481,-0.2729411764705886,1,88.17120622568093,6302857579.2,0.8001862606386618,53.15,0.7596296296296297,0.32916666666666666,0.9560185185185186,0.5,0.5,0.5,0.5848842592592592,13
002353,杰瑞股份,2026-07-01,-0.028276988814879944,0.049046876059968714,0.5471735867933964,1.06793260230008,0.6941974257575714,0.6691682059692751,-0.24957800819869772,1,57.083213360207296,3195246024.25,0.143672014727678,154.64,0.7981481481481482,0.3685185185185185,0.7847222222222223,0.5,0.5,0.5,0.5832870370370371,14
000657,中钨高新,2026-07-01,-0.04136690647482011,0.4424898511502029,0.9631675874769798,2.2522033898305085,0.8780629333717341,0.7839323349698814,-0.33106345986670543,1,67.53424657534245,9238763805.25,0.3973120974074138,95.94,0.8652777777777777,0.15555555555555553,0.9203703703703705,0.5,0.5,0.5,0.5816898148148149,15
301269,华大九天,2026-07-01,0.10134445989800667,0.1280151946818613,0.4305672648440322,0.08168654949458154,0.5602659155452249,0.7253521265051475,-0.3102596849723286,1,77.8824128276915,1868580976.4,0.15795343317142652,118.78,0.8560185185185186,0.3037037037037037,0.7046296296296297,0.5,0.5,0.5,0.5800231481481481,16
601456,国联民生,2026-07-01,0.013215859030836885,0.040723981900452344,0.006564551422319376,-0.11282545805207334,0.39271734307882344,0.2789578688466246,-0.16015625000000025,0,55.4744525547445,479835324.35,0.48609605854711346,9.2,0.6069444444444444,0.8152777777777778,0.5532407407407407,0.5,0.5,0.5,0.5793518518518518,17
002600,领益智造,2026-07-01,0.007927519818799578,0.2133605998636674,0.3755795981452861,0.15734720416124826,0.8050274092116535,0.6199846869345633,-0.32441288913162203,1,69.0802348336595,4429297291.05,0.26972234045974175,17.8,0.8296296296296296,0.22870370370370366,0.8662037037037038,0.5,0.5,0.5,0.5783333333333334,18
300628,亿联网络,2026-07-01,0.10475617098133672,-0.07088607594936702,0.15517784073024887,0.03613777526821016,0.5262259363529725,0.4146433091553531,-0.1764556962025316,0,60.42363433667786,459282723.2,0.1604680276567334,36.7,0.6837962962962961,0.6708333333333333,0.4847222222222223,0.5,0.5,0.5,0.5700462962962963,19
601059,信达证券,2026-07-01,0.05878634639696578,-0.016441573693482203,0.014536644457904258,-0.05898876404494391,0.36925968419612193,0.24560309667331862,-0.18935236004390715,0,65.45454545454547,192034339.45,0.09398979488939507,16.75,0.637037037037037,0.8356481481481481,0.3421296296296297,0.5,0.5,0.5,0.5688194444444444,20
600150,中国船舶,2026-07-01,-0.004526166902404594,-0.03456790123456799,0.1333333333333333,0.04483372921615203,0.41160131285501145,0.4158043941873821,-0.21628564089391203,0,50.578806767586805,3468068009.35,-0.13764537670997146,35.19,0.6319444444444444,0.6962962962962963,0.563425925925926,0.5,0.5,0.5,0.5687731481481482,21
